Prefix,ISO,Desc,InternalRost,Rate
1204,,canada,0.00345,0.01035
1204200,,canada,0.00186,0.00558
1204201,,canada,0.0017,0.0051
1204202,,canada,0.00179,0.00537
1204203,,canada,0.00204,0.00612
1204205,,canada,0.0017,0.0051
1204206,,canada,0.0017,0.0051
1204207,,canada,0.0017,0.0051
1204208,,canada,0.0017,0.0051
1204209,,canada,0.0017,0.0051
1204210,,canada,0.0017,0.0051
1204211,,canada,0.00334,0.01002
1204212,,canada,0.0017,0.0051
1204213,,canada,0.00173,0.00519
1204214,,canada,0.0017,0.0051
1204215,,canada,0.0017,0.0051
1204216,,canada,0.0017,0.0051
1204217,,canada,0.00201,0.00603
1204218,,canada,0.0017,0.0051
1204219,,canada,0.0017,0.0051
120422,,canada,0.0017,0.0051
1204230,,canada,0.0017,0.0051
1204231,,canada,0.0017,0.0051
1204232,,canada,0.0017,0.0051
1204233,,canada,0.0017,0.0051
1204234,,canada,0.00198,0.00594
1204235,,canada,0.0017,0.0051
1204236,,canada,0.00204,0.00612
1204237,,canada,0.0017,0.0051
1204238,,canada,0.00203,0.00609
1204239,,canada,0.00201,0.00603
120424,,canada,0.00219,0.00657
1204240,,canada,0.00204,0.00612
1204241,,canada,0.00194,0.00582
1204242,,canada,0.00201,0.00603
1204243,,canada,0.00204,0.00612
1204244,,canada,0.00201,0.00603
1204245,,canada,0.00203,0.00609
1204246,,canada,0.00201,0.00603
1204247,,canada,0.00201,0.00603
1204248,,canada,0.00201,0.00603
1204249,,canada,0.00201,0.00603
1204250,,canada,0.00179,0.00537
1204251,,canada,0.00179,0.00537
1204252,,canada,0.00204,0.00612
1204253,,canada,0.0017,0.0051
1204254,,canada,0.0017,0.0051
1204255,,canada,0.00176,0.00528
1204256,,canada,0.0017,0.0051
1204257,,canada,0.0017,0.0051
1204258,,canada,0.0017,0.0051
1204259,,canada,0.0017,0.0051
1204260,,canada,0.00179,0.00537
1204261,,canada,0.0017,0.0051
1204262,,canada,0.0017,0.0051
1204263,,canada,0.00204,0.00612
1204264,,canada,0.00203,0.00609
1204265,,canada,0.00203,0.00609
1204266,,canada,0.0019,0.0057
1204267,,canada,0.00204,0.00612
1204268,,canada,0.00201,0.00603
1204269,,canada,0.0017,0.0051
1204270,,canada,0.00179,0.00537
1204271,,canada,0.00198,0.00594
1204272,,canada,0.0017,0.0051
1204274,,canada,0.00203,0.00609
1204275,,canada,0.0017,0.0051
1204276,,canada,0.00204,0.00612
1204277,,canada,0.00199,0.00597
1204278,,canada,0.00204,0.00612
1204279,,canada,0.00201,0.00603
1204280,,canada,0.00204,0.00612
1204281,,canada,0.00204,0.00612
1204282,,canada,0.00175,0.00525
